Date,Open,High,Low,Close,Adj Close,Volume
2016-02-01,26.200001,31.090000,24.750000,30.820000,23.785942,40186300
2016-03-01,31.049999,32.950001,28.400000,31.730000,24.488253,66314900
2016-04-01,31.730000,33.720001,29.000000,32.799999,25.603662,66957500
2016-05-01,32.810001,32.860001,27.520000,29.100000,22.715445,70071200
2016-06-01,29.020000,29.320000,25.180000,26.580000,20.748337,54733100
2016-07-01,26.879999,31.850000,25.730000,30.950001,24.475868,58500900
2016-08-01,30.969999,32.669998,28.270000,28.389999,22.451368,69658400
2016-09-01,28.469999,28.670000,26.690001,27.590000,21.818714,41148800
2016-10-01,27.590000,27.860001,23.690001,24.049999,19.270538,51545000
2016-11-01,24.010000,26.490000,20.100000,24.690001,19.783350,70835700
2016-12-01,24.660000,26.850000,24.129999,25.260000,20.542286,42751600
2017-01-01,25.440001,26.049999,22.270000,24.490000,19.916096,61272600
2017-02-01,24.490000,26.680000,23.570000,24.440001,19.875437,40738100
2017-03-01,24.570000,25.320000,20.240000,22.549999,18.338425,86583400
2017-04-01,22.520000,23.980000,21.559999,22.690001,18.737082,48114500
2017-05-01,22.770000,25.309999,21.250000,22.139999,18.282898,76113200
2017-06-01,22.150000,22.959999,20.260000,21.610001,17.845230,55700500
2017-07-01,21.770000,22.000000,20.650000,21.690001,18.216648,35477000
2017-08-01,21.690001,22.370001,18.469999,18.500000,15.537482,71639100
2017-09-01,18.600000,20.969999,18.559999,20.660000,17.351587,40379400
2017-10-01,20.650000,20.680000,18.590000,18.690001,16.011658,38113700
2017-11-01,18.670000,19.690001,15.850000,18.750000,16.063063,106949300
2017-12-01,18.730000,19.860001,17.940001,17.950001,15.683008,57876300
2018-01-01,17.959999,20.309999,16.610001,16.809999,14.686983,89774500
2018-02-01,16.700001,17.010000,15.100000,15.690000,13.708433,65241500
2018-03-01,15.790000,16.230000,12.200000,12.620000,11.026158,103280400
2018-04-01,12.510000,14.180000,12.500000,13.650000,12.216769,94335400
2018-05-01,13.580000,13.890000,12.260000,13.200000,11.814017,98517700
2018-06-01,12.800000,15.980000,12.700000,14.570000,13.040170,154989300
2018-07-01,14.590000,15.630000,14.000000,14.410000,13.243319,52105500
2018-08-01,14.420000,17.270000,13.180000,13.270000,12.195618,84426000
2018-09-01,13.170000,17.040001,13.080000,15.270000,14.033691,75143300
2018-10-01,15.280000,15.600000,13.640000,14.600000,13.728651,52300700
2018-11-01,14.610000,15.760000,12.140000,13.660000,12.844750,84572300
2018-12-01,13.820000,14.110000,11.560000,12.620000,11.866820,50159500
2019-01-01,12.450000,16.900000,11.100000,11.340000,10.967875,107231700
2019-02-01,11.310000,11.930000,11.000000,11.700000,11.316062,54706400
2019-03-01,11.880000,12.100000,10.070000,10.160000,9.826597,67208800
2019-04-01,10.290000,10.420000,8.530000,8.650000,8.650000,114515000
2019-05-01,8.660000,8.990000,7.320000,7.580000,7.580000,67421700
2019-06-01,7.580000,7.850000,4.710000,5.470000,5.470000,170303900
2019-07-01,5.530000,5.640000,3.900000,4.020000,4.020000,154982200
2019-08-01,4.020000,4.360000,3.150000,3.970000,3.970000,150910000
2019-09-01,3.970000,5.640000,3.660000,5.520000,5.520000,209391900
2019-10-01,5.640000,6.620000,4.960000,5.440000,5.440000,105171700
2019-11-01,5.450000,6.390000,5.350000,6.340000,6.340000,56925700
2019-12-01,6.350000,6.920000,5.180000,6.080000,6.080000,121013800
2020-01-01,6.140000,6.470000,3.830000,3.840000,3.840000,81070500
2020-02-01,3.880000,4.510000,3.180000,3.600000,3.600000,55790000
2020-03-01,3.600000,5.090000,3.390000,3.500000,3.500000,100476400
2020-04-01,3.450000,6.470000,2.570000,5.730000,5.730000,99735200
2020-05-01,5.650000,6.180000,3.960000,4.060000,4.060000,53528000
2020-06-01,4.120000,5.530000,4.020000,4.340000,4.340000,100281700
2020-07-01,4.310000,4.550000,3.770000,4.010000,4.010000,55497200
2020-08-01,4.030000,7.150000,4.000000,6.680000,6.680000,117270800
2020-09-01,7.300000,11.170000,5.870000,10.200000,10.200000,254864200
2020-10-01,10.090000,15.870000,9.100000,10.470000,10.470000,359871700
2020-11-01,10.820000,19.420000,10.500000,16.559999,16.559999,161490800
2020-12-01,17.110001,22.350000,12.140000,18.840000,18.840000,251298000
2021-01-01,19.000000,483.000000,17.080000,325.000000,325.000000,1261585100
2021-01-29,379.709991,413.980011,250.000000,325.000000,325.000000,50397132
