Date,Open,High,Low,Close,Adj Close,Volume
2016-02-01,47.900002,48.259998,45.049999,47.900002,43.623474,0
2016-03-01,49.020000,51.080002,49.020000,51.029999,46.474018,0
2016-04-01,51.330002,52.169998,50.570000,51.360001,46.993393,0
2016-05-01,51.759998,52.279999,50.669998,52.270000,47.826031,0
2016-06-01,52.380001,52.990002,49.639999,52.169998,47.734524,0
2016-07-01,52.299999,54.230000,51.889999,54.230000,49.836567,0
2016-08-01,54.160000,54.750000,53.759998,54.380001,49.974411,0
2016-09-01,54.389999,54.869999,53.009998,54.200001,49.808994,0
2016-10-01,54.020000,54.090000,52.970001,53.000000,48.946545,0
2016-11-01,52.619999,55.759998,51.980000,55.360001,51.126049,0
2016-12-01,55.130001,57.200001,55.130001,56.080002,51.790993,0
2017-01-01,56.540001,57.669998,56.540001,57.160000,53.119152,0
2017-02-01,57.160000,59.520000,57.160000,59.279999,55.089275,0
2017-03-01,60.110001,60.110001,58.419998,59.060001,54.884842,0
2017-04-01,58.900002,59.869999,58.189999,59.680000,55.711262,0
2017-05-01,59.810001,60.410000,58.939999,60.290001,56.280697,0
2017-06-01,60.849998,61.490002,60.410000,60.570000,56.542080,0
2017-07-01,60.750000,61.980000,60.200001,61.700001,57.860420,0
2017-08-01,61.849998,61.900002,60.480000,61.799999,57.954185,0
2017-09-01,61.959999,63.049999,61.470001,63.049999,59.126392,0
2017-10-01,63.360001,64.559998,63.360001,64.419998,60.670731,0
2017-11-01,64.459999,66.379997,64.089996,66.379997,62.516663,0
2017-12-01,66.239998,67.389999,65.809998,66.720001,62.836876,0
2018-01-01,67.269997,71.500000,67.269997,70.269997,66.505165,0
2018-02-01,70.269997,70.269997,64.419998,67.660004,64.035011,0
2018-03-01,66.870003,69.760002,64.790001,66.050003,62.511242,0
2018-04-01,64.559998,67.830002,64.559998,66.300003,63.002941,0
2018-05-01,66.480003,68.739998,65.919998,68.169998,64.779945,0
2018-06-01,68.879997,70.290001,67.870003,68.339996,64.941490,0
2018-07-01,68.570000,71.360001,68.309998,70.629997,67.400612,0
2018-08-01,70.550003,73.309998,70.550003,73.070000,69.729050,0
2018-09-01,72.949997,73.650002,72.290001,72.839996,69.509567,0
2018-10-01,72.949997,72.949997,65.680000,67.449997,64.674446,0
2018-11-01,68.290001,70.059998,65.760002,68.849998,66.016838,0
2018-12-01,69.599998,69.599998,58.189999,62.090000,59.535011,0
2019-01-01,62.150002,67.430000,60.709999,67.430000,65.021614,0
2019-02-01,67.540001,70.070000,67.540001,69.800003,67.306961,0
2019-03-01,70.279999,71.339996,68.620003,70.430000,67.914467,0
2019-04-01,71.239998,73.230003,71.230003,73.230003,70.986610,0
2019-05-01,72.660004,73.330002,68.519997,68.519997,66.420891,0
2019-06-01,68.360001,73.290001,68.360001,73.040001,70.802429,0
2019-07-01,73.570000,75.150002,73.570000,74.089996,72.085495,0
2019-08-01,73.370003,73.370003,70.500000,72.599998,70.635818,0
2019-09-01,72.040001,74.739998,72.040001,73.500000,71.511467,0
2019-10-01,72.550003,75.320000,71.320000,75.050003,73.352242,0
2019-11-01,75.839996,78.220001,75.839996,77.889999,76.127998,0
2019-12-01,77.190002,79.919998,76.720001,79.690002,77.887276,0
2020-01-01,80.290001,82.180000,79.629997,79.629997,78.248764,0
2020-02-01,80.290001,83.790001,73.129997,73.129997,71.861511,0
2020-03-01,76.300003,77.250000,54.490002,62.750000,61.661556,0
2020-04-01,59.830002,71.930000,59.830002,71.070000,70.186768,0
2020-05-01,68.989998,74.889999,68.839996,74.889999,73.959290,0
2020-06-01,75.290001,79.919998,73.889999,76.260002,75.312271,0
2020-07-01,76.610001,80.690002,76.610001,80.570000,79.919281,0
2020-08-01,81.269997,86.470001,81.269997,86.349998,85.652603,0
2020-09-01,87.080002,88.269997,79.959999,82.940002,82.270142,0
2020-10-01,83.570000,87.589996,81.160004,81.160004,80.833466,0
2020-11-01,82.180000,91.580002,82.180000,91.059998,90.693626,0
2020-12-01,91.989998,94.739998,91.989998,94.739998,94.358818,0
2021-01-01,93.349998,98.040001,93.349998,94.430000,94.430000,0
